J0524-6624,05 24 20,-66 24 23,0,0,0,0,0,240,0.0667,8.73E+16,2.83,0,0,0,0.00E+00,0.00E+00,0.00,0.00E+00,0.00E+00,0
J0525-6938,05 25 04,-69 38 24,315.04,3.1504E+23,1.55,0.38,4.88312E+23,126,0.0350,4.58E+16,1.48,0,0,0,0.00E+00,0.00E+00,0.00,0.00E+00,0.00E+00,0
J0525-6559,05 25 25,-65 59 19,38.03,3.803E+22,1.51,0.39,5.74253E+22,170,0.0472,6.18E+16,2.00,0.6,0.06,0.04,2.36E-03,7.09E+05,709.36,3.49E+10,1.11E+03,1.105
J0526-6605,05 26 00,-66 04 57,64.37,6.437E+22,11.1,2.9,7.14507E+23,84,0.0233,3.05E+16,0.99,0.42,0.02,0.02,1.98E-03,5.93E+05,593.49,2.06E+10,6.53E+02,0.653
J0527-6912,05 27 39,-69 12 04,1.99,1.99E+21,0,0,0,198,0.0550,7.20E+16,2.33,0.18,0.01,0.01,1.30E-03,3.89E+05,388.53,7.41E+10,2.35E+03,2.350
J0527-6550,05 27 54,-65 49 38,0,0,0,0,0,282,0.0783,1.03E+17,3.32,0,0,0,0.00E+00,0.00E+00,0.00,0.00E+00,0.00E+00,0
J0527-6714,05 27 56,-67 13 40,0.25,2.5E+20,0,0,0,270,0.0750,9.82E+16,3.18,0.18,0.01,0.01,1.30E-03,3.89E+05,388.53,1.01E+11,3.20E+03,3.205
J0527-7104,05 27 57,-71 04 30,0.21,2.1E+20,0,0,0,369,0.1025,1.34E+17,4.35,0.37,0.08,0.04,1.86E-03,5.57E+05,557.05,9.63E+10,3.06E+03,3.055
J0528-6727,05 28 05,-67 27 20,0.58,5.8E+20,0,0,0,324,0.0900,1.18E+17,3.82,0.22,0.02,0.02,1.43E-03,4.30E+05,429.54,1.10E+11,3.48E+03,3.479
J0529-6653,05 29 51,-66 53 28,1.04,1.04E+21,0,0,0,145,0.0403,5.27E+16,1.71,1.51,0.28,0.28,3.75E-03,1.13E+06,1125.33,1.87E+10,5.94E+02,0.594
